gene_id,gene_symbol,gene_description
19017,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"
25121,Pcsk2,proprotein convertase subtilisin/kexin type 2
619556,MIR455,microRNA 455
4760,NEUROD1,neuronal differentiation 1
850676,COF1,cofilin
834082,ATR,Ataxia telangiectasia-mutated and RAD3-like protein
214403,Cfhr4,complement factor H-related 4
826616,ATHSP22.0,HSP20-like chaperones superfamily protein
9407127,SPBC29A10.17,hypothetical protein
81718,Cdo1,cysteine dioxygenase type 1
33496,lilli,lilliputian
140728,Cacng7,calcium voltage-gated channel auxiliary subunit gamma 7
14299,Ncs1,neuronal calcium sensor 1
783,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2
116668,Myt1l,myelin transcription factor 1-like
11830,Aqp5,aquaporin 5
2540730,sre1,transcription factor Sre1
946540,flu,CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter
558450,kdm1a,lysine (K)-specific demethylase 1a
851153,CNA1,calcineurin catalytic subunit A
57783,Tnip1,TNFAIP3 interacting protein 1
74521,Ppp4r4,"protein phosphatase 4, regulatory subunit 4"
683788,Fscn1,fascin actin-bundling protein 1
828783,MAP65-2,microtubule-associated protein 65-2
10497,UNC13B,unc-13 homolog B
19283,Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1"
3885684,PF3D7_0601100,exported protein family 3
850636,SSA2,Hsp70 family chaperone SSA2
32737,stas,Stasimon
64534,Pim3,"Pim-3 proto-oncogene, serine/threonine kinase"
100148543,zdhhc17,zinc finger DHHC-type palmitoyltransferase 17
34816,NimC1,Nimrod C1
818862,MAX2,RNI-like superfamily protein
5352,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
855930,MRPL40,mitochondrial 54S ribosomal protein YmL40
50498,Ebi3,Epstein-Barr virus induced gene 3
172262,pgp-2,P-GlycoProtein related
287526,Serpinf1,serpin family F member 1
175092,pfs-2,pre-mRNA 3' end processing protein pfs-2
64599,GIGYF1,GRB10 interacting GYF protein 1
43193,Pdf,Pigment-dispersing factor
35478,gus,gustavus
840246,MOS2,D111/G-patch domain-containing protein
55854,ZC3H15,zinc finger CCCH-type containing 15
317864,CG32117,uncharacterized protein
246744,STH,saitohin
751535,Mir672,microRNA 672
822289,AT3G26760,NAD(P)-binding Rossmann-fold superfamily protein
10855,HPSE,heparanase
844020,SEC5A,exocyst complex component sec5
35813,pdm3,pou domain motif 3
114552,Bcl2l10,BCL2 like 10
397481,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1
1889,ECE1,endothelin converting enzyme 1
949079,xdhD,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit
10250,SRRM1,serine and arginine repetitive matrix 1
65194,Slc29a2,solute carrier family 29 member 2
839817,PAI3,phosphoribosylanthranilate isomerase 3
22612,Yes1,"YES proto-oncogene 1, Src family tyrosine kinase"
54468,MIOS,meiosis regulator for oocyte development
31582,PpV,Protein phosphatase V
33474,daw,dawdle
84353,Ctnnb1,catenin beta 1
946749,yfcF,glutathione S-transferase YfcF
6037,RNASE3,ribonuclease A family member 3
556597,bloc1s1,"biogenesis of lysosomal organelles complex-1, subunit 1"
7052,TGM2,transglutaminase 2
12857,Cox4i1,cytochrome c oxidase subunit 4I1
24264,Ckb,creatine kinase B
855353,FKS3,"putative 1,3-beta-D-glucan synthase"
73191,Fezf1,Fez family zinc finger 1
1129,CHRM2,cholinergic receptor muscarinic 2
541384,mybpc2b,myosin binding protein Cb
822547,NAC3,NAC domain containing protein 3
192212,Prom2,prominin 2
566591,furinb,furin (paired basic amino acid cleaving enzyme) b
816498,AT2G19790,SNARE-like superfamily protein
25847,ANAPC13,anaphase promoting complex subunit 13
243923,Rgs9bp,regulator of G-protein signalling 9 binding protein
853636,PEX1,AAA family ATPase peroxin 1
850360,YCP4,flavodoxin-like fold family protein
17153,Mal,"myelin and lymphocyte protein, T cell differentiation protein"
948377,yihO,putative sulfoquinovose transporter
9693,RAPGEF2,Rap guanine nucleotide exchange factor 2
816771,AT2G22400,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
42889,jar,jaguar
7072,TIA1,TIA1 cytotoxic granule associated RNA binding protein
838168,PnsB1,NDH-dependent cyclic electron flow 1
290230,Mdp1,magnesium-dependent phosphatase 1
945210,mepH,peptidoglycan DD-endopeptidase MepH
27287,VENTX,VENT homeobox
852378,MIS1,trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
693223,MIR638,microRNA 638
830116,EMB2453,Tetratricopeptide repeat (TPR)-like superfamily protein
723832,Mir298,microRNA 298
281157,FDX1,ferredoxin 1
268482,Krt12,keratin 12
57732,ZFYVE28,zinc finger FYVE-type containing 28
834819,TRM10,tRNA (guanine(9)-N1)-methyltransferase-like protein
320827,Cracd,capping protein inhibiting regulator of actin
3354994,su(f),suppressor of forked
33263,drongo,drongo
450219,Gsdma3,gasdermin A3
54937,SOHLH2,spermatogenesis and oogenesis specific basic helix-loop-helix 2
855853,FDH2,pseudo
830047,VHA-C3,vacuolar-type H[+]-ATPase C3
851860,CIA1,iron-sulfur cluster assembly protein CIA1
176231,mig-22,Chondroitin sulfate synthase mig-22
2475,MTOR,mechanistic target of rapamycin kinase
6773,STAT2,signal transducer and activator of transcription 2
37636,YME1L,YME1 like ATPase
828936,EMB1923,embryo defective 1923
31480,Sirt4,Sirtuin 4
291926,Mylk3,myosin light chain kinase 3
830835,HEC3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
42030,CG14906,uncharacterized protein
567704,cdh7a,cadherin 7a
2889,RAPGEF1,Rap guanine nucleotide exchange factor 1
360137,dixdc1a,DIX domain containing 1a
54913,RPP25,ribonuclease P and MRP subunit p25
2540433,rep1,MBF transcription factor complex subunit Rep1
945499,pspC,phage shock protein C
3921,RPSA,ribosomal protein SA
945482,ybjN,protein YbjN
825455,DRB4,double-stranded-RNA-binding protein 4
387239,Mir199b,microRNA 199b
816861,MYB70,myb domain protein 70
9238,TBRG4,transforming growth factor beta regulator 4
393638,timm50,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)
395605,CHRNB2,cholinergic receptor nicotinic beta 2 subunit
245956,Scn3b,sodium voltage-gated channel beta subunit 3
36999,Smurf,SMAD specific E3 ubiquitin protein ligase
842993,CAK4,CDK-activating kinase 4
856407,YNCH0005W,tRNA
171284,Timd2,T cell immunoglobulin and mucin domain containing 2
814906,GEK1,D-aminoacyl-tRNA deacylase
852309,FUR4,uracil permease
946172,ydgA,DUF945 domain-containing protein YdgA
553300,dchs1b,dachsous cadherin-related 1b
948077,wecH,O-acetyltransferase WecH
839737,AT1G28395,hypothetical protein
851817,COX20,Cox20p
66256,Ssr2,"signal sequence receptor, beta"
818168,EDA12,embryo sac development arrest 12
116637,Ccl4,C-C motif chemokine ligand 4
829548,DJ1C,Class I glutamine amidotransferase-like superfamily protein
821173,AT3G03730,"F-box/kelch-repeat protein, putative (DUF295)"
852048,THI74,Thi74p
100627128,FH,fumarate hydratase
281108,CTSV,cathepsin V
751519,Mir423,microRNA 423
768287,desmb,desmin b
2541388,thi5,transcription factor Thi5
130367,SGPP2,sphingosine-1-phosphate phosphatase 2
23268,DNMBP,dynamin binding protein
5802937,SPAPB15E9.01c,hypothetical protein
12461,Cct2,"chaperonin containing Tcp1, subunit 2 (beta)"
6948,TCN2,transcobalamin 2
188247,him-8,C2H2-type domain-containing protein
948529,xylE,D-xylose:H(+) symporter
841756,TCP3,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3"
85397,RGS8,regulator of G protein signaling 8
7021,TFAP2B,transcription factor AP-2 beta
835205,AT5G51310,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
245526,Pgr15l,G protein-coupled receptor 15-like
19834761,CG44249,uncharacterized protein
68566,Caly,calcyon neuron-specific vesicular protein
284403,WDR62,WD repeat domain 62
2538787,bis1,stress response protein Bis1
25293,Aqp4,aquaporin 4
192299,rpl35,ribosomal protein L35
27436,EML4,EMAP like 4
829931,ANT,Integrase-type DNA-binding superfamily protein
173074,hda-3,Histone deacetylase
842114,GolS2,galactinol synthase 2
3678,ITGA5,integrin subunit alpha 5
559665,smc1a,structural maintenance of chromosomes 1A
947195,hypA,hydrogenase 3 nickel incorporation protein HypA
842737,AT1G64310,Tetratricopeptide repeat (TPR)-like superfamily protein
230082,Nol6,nucleolar protein family 6 (RNA-associated)
2297,FOXD1,forkhead box D1
250722,fs(1)250,female sterile (1) 250
948148,waaL,O-antigen ligase
569773,zbtb16b,zinc finger and BTB domain containing 16b
948440,gldA,"L-1,2-propanediol dehydrogenase/glycerol dehydrogenase"
41125,Task7,TWIK-related acid-sensitive K[+] channel 7
571965,pkn2a,protein kinase N2a
565429,hspg2,heparan sulfate proteoglycan 2
2541544,ura1,bifunctional carbamoyl-phosphate synthase/aspartate carbamoyltransferase Ura1
842904,AT1G65920,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
20532,Slc3a1,"solute carrier family 3, member 1"
856049,PDR12,ATP-binding cassette multidrug transporter PDR12
170835,Inpp5j,inositol polyphosphate 5-phosphatase J
436730,egfl6,"EGF-like-domain, multiple 6"
947318,pcnB,poly(A) polymerase I
7391,USF1,upstream transcription factor 1
824188,CEJ1,cooperatively regulated by ethylene and jasmonate 1
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor
833979,DEG8,Trypsin family protein with PDZ domain-containing protein
43597,CecA2,Cecropin A2
18438,P2rx4,"purinergic receptor P2X, ligand-gated ion channel 4"
21978,tp,taupe
17261,Mef2d,myocyte enhancer factor 2D
68273,Pomgnt1,"protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase"
287467,Pitpnm3,PITPNM family member 3
832752,DPD1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
11682,Alk,anaplastic lymphoma kinase
2543499,agl1,alpha-glucosidase Agl1
946701,yeiR,zinc-binding GTPase YeiR
3188,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2
10733,PLK4,polo like kinase 4
26987,Eif4e2,eukaryotic translation initiation factor 4E member 2
2313,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
38238,GV1,GV1
945490,aat,leucyl/phenylalanyl-tRNA--protein transferase
819170,AT2G45620,Nucleotidyltransferase family protein
856103,LSP1,lipid-binding protein LSP1
20751,Spr,sepiapterin reductase
38055,Atac3,Ada2a-containing complex component 3
7993,UBXN8,UBX domain protein 8
364879,Isoc1,isochorismatase domain containing 1
4706,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
947754,cyaY,frataxin CyaY
171642,deps-1,Uncharacterized protein
550414,adtrp1,androgen dependent TFPI regulating protein 1
2541178,mpr1,histidine-containing response regulator phosphotransferase Mpr1
946408,araG,arabinose ABC transporter ATP binding subunit
54473,Tollip,toll interacting protein
10636,RGS14,regulator of G protein signaling 14
855237,VTI1,v-SNARE protein VTI1
7020,TFAP2A,transcription factor AP-2 alpha
832157,TIP1,Ankyrin repeat family protein with DHHC zinc finger domain-containing protein
323055,ywhaba,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide a"
833700,RVE2,Homeodomain-like superfamily protein
854688,RHO3,Rho family GTPase RHO3
383348,Kctd16,potassium channel tetramerisation domain containing 16
177855,uba-1,UBA_e1_C domain-containing protein
3565860,ufd-1,Ubiquitin fusion degradation protein 1 homolog
29441,Por,cytochrome p450 oxidoreductase
29515,Atn1,atrophin 1
9948,WDR1,WD repeat domain 1
225256,Dsg1b,desmoglein 1 beta
114862,Cacna1h,calcium voltage-gated channel subunit alpha1 H
12061,Bdkrb1,"bradykinin receptor, beta 1"
948913,serB,phosphoserine phosphatase
829922,HHP4,heptahelical protein 4
81525,Nfkbib,NFKB inhibitor beta
393243,znhit3,"zinc finger, HIT-type containing 3"
79890,RIN3,Ras and Rab interactor 3
945805,ygiV,DNA-binding transcriptional repressor YgiV
853506,ANB1,translation elongation factor eIF-5A
83771,Tas1r3,"taste receptor, type 1, member 3"
29251,F2,coagulation factor II
945,CD33,CD33 molecule
38375,Usp5,Ubiquitin specific protease 5
240396,Mex3c,mex3 RNA binding family member C
50636,ANO7,anoctamin 7
555939,avpr1ab,arginine vasopressin receptor 1Ab
12823,Col19a1,"collagen, type XIX, alpha 1"
944849,lpxA,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
288669,Arpc3,"actin related protein 2/3 complex, subunit 3"
843934,VAB1,"ATPase, V1 complex, subunit B protein"
829007,ckl4,casein kinase I-like 4
259273,Kcnq5,potassium voltage-gated channel subfamily Q member 5
815029,EMB2761,"threonyl-tRNA synthetase, putative / threonine-tRNA ligase"
396318,GPR50,G protein-coupled receptor 50
831813,OFP1,ovate family protein 1
852322,HMT1,protein-arginine omega-N methyltransferase HMT1
20679,Sox6,SRY (sex determining region Y)-box 6
56698,Phax,phosphorylated adaptor for RNA export
10916,MAGED2,MAGE family member D2
268749,Rnf31,ring finger protein 31
947946,gntR,DNA-binding transcriptional repressor GntR
176259,trxr-2,putative glutathione reductase 2
50809,HP1BP3,heterochromatin protein 1 binding protein 3
172867,ercc-1,ERCC (DNA excision repair protein) homolog
64064,OXCT2,3-oxoacid CoA-transferase 2
853260,PFD1,prefolding complex chaperone subunit
8627408,cupG,calcium up-regulated protein
209692,Dhtkd1,dehydrogenase E1 and transketolase domain containing 1
2543235,ppt1,para-hydroxybenzoate polyprenyltransferase Ppt1
5743,PTGS2,prostaglandin-endoperoxide synthase 2
314800,Acss3,acyl-CoA synthetase short-chain family member 3
668253,Dleu2,"deleted in lymphocytic leukemia, 2"
830063,VHA-A3,vacuolar proton ATPase A3
8239,USP9X,ubiquitin specific peptidase 9 X-linked
851141,DCK1,Dck1p
2915,GRM5,glutamate metabotropic receptor 5
23310,NCAPD3,non-SMC condensin II complex subunit D3
84545,MRPL43,mitochondrial ribosomal protein L43
825066,MGT6,magnesium transporter 6
9926,LPGAT1,lysophosphatidylglycerol acyltransferase 1
831850,SAUR21,ARM repeat superfamily protein
83916,nr5a1a,"nuclear receptor subfamily 5, group A, member 1a"
828717,NAP1;1,nucleosome assembly protein1;1
396294,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
59011,Myoz1,myozenin 1
2356,FPGS,folylpolyglutamate synthase
837884,RTFL17,ROTUNDIFOLIA like 17
304407,Cldn4,claudin 4
54259,Inpp5d,inositol polyphosphate-5-phosphatase D
33289,TBC1D23,TBC1 domain family member 23
817099,SPIK,Shaker pollen inward K+ channel
4651,MYO10,myosin X
172130,phat-2,PHAryngeal gland Toxin-related
832086,S1P,SITE-1 protease
74711,Ttll9,"tubulin tyrosine ligase-like family, member 9"
174076,toe-2,Target Of ERK kinase MPK-1
948317,rhtC,L-threonine exporter
821076,AT3G01800,Ribosome recycling factor
363091,Myzap,myocardial zonula adherens protein
367733,Rpgr,retinitis pigmentosa GTPase regulator
834820,AT5G47690,binding protein
26058,GIGYF2,GRB10 interacting GYF protein 2
550571,fibinb,fin bud initiation factor b
2543346,set13,ribosome L32 lysine methyltransferase Set13
5008003,MIR169f,ncRNA
85015,USP45,ubiquitin specific peptidase 45
947655,mreC,cell shape determining protein MreC
1018,CDK3,cyclin dependent kinase 3
20304,Ccl5,chemokine (C-C motif) ligand 5
3361532,lkh1,dual-specificity
286430,NLRP2B,NLR family pyrin domain containing 2B
406997,MIR215,microRNA 215
818709,TCH3,Calcium-binding EF hand family protein
559363,syne2a,"spectrin repeat containing, nuclear envelope 2a"
844058,AT1G77220,organic solute transporter ostalpha protein (DUF300)
828440,TET5,tetraspanin5
810601,PF3D7_1103700,casein kinase II beta chain
831150,G6PD2,glucose-6-phosphate dehydrogenase 2
852423,TPS1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1"
6560,SLC12A4,solute carrier family 12 member 4
2543426,SPAC631.02,putative bromodomain-containing protein
831621,PEX19-2,peroxin 19-2
100415799,ugt5b2,"UDP glucuronosyltransferase 5 family, polypeptide B2"
403894,ZP3,zona pellucida glycoprotein 3
99138,Stard7,START domain containing 7
155812,Trim9,tripartite motif-containing 9
393822,slc22a4,solute carrier family 22 member 4
22363,Vpreb2,pre-B lymphocyte gene 2
5657032,gusE,gustatory E
831304,AT5G14530,Transducin/WD40 repeat-like superfamily protein
855722,PYP1,putative phosphoric monoester hydrolase
441054,C4orf47,chromosome 4 open reading frame 47
574477,MIR518C,microRNA 518c
811826,PF3D7_1426500,ABC transporter G family member 2
180854,flp-7,TPMQRSSMVRF-amide 2
116695,Kcnd1,potassium voltage-gated channel subfamily D member 1
947259,glcA,glycolate/lactate:H(+) symporter GlcA
16491,Kcna3,"potassium voltage-gated channel, shaker-related subfamily, member 3"
363241,Eef1b2,eukaryotic translation elongation factor 1 beta 2
393665,ndrg1b,N-myc downstream regulated 1b
25450,Gabrb1,gamma-aminobutyric acid type A receptor subunit beta1
33281,S,Star
80208,SPG11,"SPG11 vesicle trafficking associated, spatacsin"
404281,YY2,YY2 transcription factor
100330810,nod1,nucleotide-binding oligomerization domain containing 1
4916,NTRK3,neurotrophic receptor tyrosine kinase 3
89885,FATE1,fetal and adult testis expressed 1
2202,EFEMP1,EGF containing fibulin extracellular matrix protein 1
178447,skr-10,Skp1-related protein
35078,Arr1,Arrestin 1
654470,Tctn1,tectonic family member 1
25344,Phb,prohibitin
292301,Tbxt,T-box transcription factor T
791074,Mir802,microRNA 802
852307,GAL10,bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
819775,DAC,transmembrane protein
2540215,rfc5,putative DNA replication factor C complex subunit Rfc5
825466,APG3,Peptide chain release factor 1
851439,HEM25,Hem25p
140925,As3mt,arsenite methyltransferase
814998,LpxB,"transferases, transferring glycosyl groups"
8624405,efa1B,elongation factor 1 beta
129642,MBOAT2,membrane bound O-acyltransferase domain containing 2
81703,Jdp2,Jun dimerization protein 2
181616,famk-1,Extracellular serine/threonine protein kinase CeFam20
81832,NETO1,neuropilin and tolloid like 1
6337,SCNN1A,sodium channel epithelial 1 subunit alpha
122953,JDP2,Jun dimerization protein 2
232987,B9d2,B9 protein domain 2
33399,mio,missing oocyte
7709,ZBTB17,zinc finger and BTB domain containing 17
8626583,kif13,kinesin family member 13
80224,NUBPL,nucleotide binding protein like
948660,cutA,copper binding protein CutA
824801,AT3G56340,Ribosomal protein S26e family protein
949031,purE,N(5)-carboxyaminoimidazole ribonucleotide mutase
54908,SPDL1,spindle apparatus coiled-coil protein 1
856431,BRL1,Brl1p
84578,Hdac3,histone deacetylase 3
815864,ALD1,AGD2-like defense response protein 1
3772530,scaRNA:MeU5-C46,small Cajal body-specific RNA : MeU5-C46
751536,Mir711,microRNA 711
60399,S1pr5,sphingosine-1-phosphate receptor 5
12797925,scaRNA:MeU4-A65,small Cajal body-specific RNA : MeU4-A65
266817,csk-1,PK_Tyr_Ser-Thr domain-containing protein;Tyrosine-protein kinase csk-1
568616,smyd2b,SET and MYND domain containing 2b
33462,Bacc,Bacchus
4297,KMT2A,lysine methyltransferase 2A
17286,Meox2,mesenchyme homeobox 2
41393,CG14710,uncharacterized protein
831362,PIN8,Auxin efflux carrier family protein
838284,ICR1,interactor of constitutive active rops 1
824383,SEX4,dual specificity protein phosphatase (DsPTP1) family protein
8626979,DDB_G0289141,BRCT domain-containing protein
824544,AT3G53770,late embryogenesis abundant 3 (LEA3) family protein
842951,ETR1,"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
59090,Midn,midnolin
41136,RhoL,Rho-like
945451,folC,bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase
832009,AT5G18910,Protein kinase superfamily protein
70059,Degs2,"delta(4)-desaturase, sphingolipid 2"
55716,LMBR1L,limb development membrane protein 1 like
948981,artJ,L-arginine ABC transporter periplasmic binding protein
835562,G18F,autophagy 18 F-like protein
852925,ACB1,long-chain fatty acid transporter ACB1
816177,AT2G16760,Calcium-dependent phosphotriesterase superfamily protein
506291,MFF,mitochondrial fission factor
946972,pqiC,intermembrane transport lipoprotein PqiC
70930,Nol8,nucleolar protein 8
284293,HMSD,histocompatibility minor serpin domain containing
14611,Gja3,"gap junction protein, alpha 3"
32637,mthl1,methuselah-like 1
103921,Fers,ferris
9575,CLOCK,clock circadian regulator
40265,CG5199,uncharacterized protein
100141021,CYFIP1,cytoplasmic FMR1 interacting protein 1
19766,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1
853509,ISY1,Isy1p
947042,glrR,DNA-binding transcriptional activator GlrR
820306,PIRL9,plant intracellular ras group-related LRR 9
84009,Kalrn,"kalirin, RhoGEF kinase"
44388,auk,auk
946771,yfbR,dCMP phosphohydrolase
40165,trc,tricornered
2318,FLNC,filamin C
2542001,not1,putative CCR4-Not complex subunit Not1
56072,Lgals12,"lectin, galactose binding, soluble 12"
41919,spn-E,spindle E
131890,GRK7,G protein-coupled receptor kinase 7
110355,Grk2,G protein-coupled receptor kinase 2
175358,strm-1,Sterol 4-C-methyltransferase strm-1
820002,KOB1,elongation defective 1 protein / ELD1 protein
31079,Naa30A,N(alpha)-acetyltransferase 30 A
810572,PF3D7_1101500,exported protein family 4
13052,Cxadr,coxsackie virus and adenovirus receptor
856091,SWI1,Swi1p
947875,frlB,fructoselysine 6-phosphate deglycase
38399,Larp4B,La-related protein 4B
852864,GET1,GET complex subunit GET1
27324,TOX3,TOX high mobility group box family member 3
503692,Aym1,activator of yeast meiotic promoters 1
387778,SPDYC,speedy/RINGO cell cycle regulator family member C
9150,CTDP1,CTD phosphatase subunit 1
43690,chp,chaoptin
180557,aat-3,Amino Acid Transporter
14739,S1pr2,sphingosine-1-phosphate receptor 2
555623,cps1,"carbamoyl-phosphate synthase 1, mitochondrial"
35454,Tif-IA,Tif-IA
946266,chbF,monoacetylchitobiose-6-phosphate hydrolase
289606,Gabra2,gamma-aminobutyric acid type A receptor subunit alpha 2
824378,NOXY38,tetratricopeptide repeat (TPR)-containing protein
192356,Unc50,unc-50 inner nuclear membrane RNA binding protein
818996,HOL2,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
16867,Lhcgr,luteinizing hormone/choriogonadotropin receptor
2182,ACSL4,acyl-CoA synthetase long chain family member 4
15277,Hk2,hexokinase 2
41860,Fkbp39,FK506-binding protein 39kD
819260,PI4K GAMMA 4,phosphoinositide 4-kinase gamma 4
827941,SRF3,STRUBBELIG-receptor family 3
831831,FRB1,O-fucosyltransferase family protein
395829,WNT9A,Wnt family member 9A
9780,PIEZO1,piezo type mechanosensitive ion channel component 1
367,AR,androgen receptor
947865,degS,serine endoprotease
362495,Ndufaf4,NADH:ubiquinone oxidoreductase complex assembly factor 4
171392,ZNF675,zinc finger protein 675
291,SLC25A4,solute carrier family 25 member 4
175461,ben-1,Tubulin beta chain
218952,Fermt2,fermitin family member 2
180398,dve-1,Homeobox domain-containing protein
5658277,sbg,strindberg
824148,ARLA1B,ADP-ribosylation factor-like A1B
810717,PF3D7_1116300,peptidyl-prolyl cis-trans isomerase
177416,paqr-1,Progestin and adipoQ receptor-like protein 1
4595,MUTYH,mutY DNA glycosylase
6276,S100A5,S100 calcium binding protein A5
25575,Scgb1a1,secretoglobin family 1A member 1
837345,ADT6,arogenate dehydratase 6
565759,ifih1,interferon induced with helicase C domain 1
854758,GPP1,glycerol-1-phosphatase RHR2
751561,Mir691,microRNA 691
12124,Bik,BCL2-interacting killer
246118,Tubb3,"tubulin, beta 3 class III"
853271,SET2,histone methyltransferase SET2
363443,Ndp,norrin cystine knot growth factor NDP
3021,H3-3B,H3.3 histone B
54623,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component"
643394,SPINK9,serine peptidase inhibitor Kazal type 9
177962,allo-1,Allophagy receptor allo-1
34787,Adat1,"Adenosine deaminase, tRNA-specific 1"
820900,UGT88A1,UDP-glucosyl transferase 88A1
2655418,PF3D7_0818200,14-3-3 protein
172967,spcs-1,putative signal peptidase complex subunit 1
175089,lin-7,Protein lin-7 homolog
827852,DOF4.4,Dof-type zinc finger domain-containing protein
53883,Celsr2,"cadherin, EGF LAG seven-pass G-type receptor 2"
853912,GAP1,amino acid permease GAP1
851246,FLC2,flavin adenine dinucleotide transporter FLC2
25172,Gata1,GATA binding protein 1
161198,CLEC14A,C-type lectin domain containing 14A
20924,Supt5,"suppressor of Ty 5, DSIF elongation factor subunit"
8619363,gnt15,hypothetical protein
831209,SVR3,elongation factor family protein
2870916,AN5989.2,hypothetical protein
819329,BOR1,HCO3- transporter family
40111,Chd3,Chd3
828193,AT4G02720,Ras-induced vulval development antagonist protein
947018,hmp,nitric oxide dioxygenase
820827,PIFI,post-illumination chlorophyll fluorescence increase
836865,MYBR1,myb domain protein r1
814718,AT2G01870,transmembrane protein
7915,ALDH5A1,aldehyde dehydrogenase 5 family member A1
852458,CSH1,mannosylinositol phosphorylceramide synthase catalytic subunit CSH1
241,ALOX5AP,arachidonate 5-lipoxygenase activating protein
2638,GC,GC vitamin D binding protein
36002,sqa,spaghetti-squash activator
94340,Acsl5,acyl-CoA synthetase long-chain family member 5
27275,Nufip1,nuclear fragile X mental retardation protein interacting protein 1
51886,Fubp1,far upstream element (FUSE) binding protein 1
78600,Pde6h,"phosphodiesterase 6H, cGMP-specific, cone, gamma"
32426,pdgy,pudgy
822105,QUA1,Nucleotide-diphospho-sugar transferases superfamily protein
854714,LYS12,homoisocitrate dehydrogenase
84530,SRRM4,serine/arginine repetitive matrix 4
851032,SFH1,Sfh1p
403021,ap1m2,adaptor related protein complex 1 subunit mu 2
798916,upk3b,uroplakin 3b
945093,ygaZ,"L-valine exporter, YgaZ component"
54469,ZFAND6,zinc finger AN1-type containing 6
8629083,sapA1,saposin A
50866,Rab4b,"RAB4B, member RAS oncogene family"
18985,Pou2af1,"POU domain, class 2, associating factor 1"
946799,fabB,3-oxoacyl-[acyl carrier protein] synthase 1
12611,Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma"
19674,Rcvrn,recoverin
388697,HRNR,hornerin
25211,Lyz2,lysozyme 2
854301,EFT1,elongation factor 2
20315,Cxcl12,chemokine (C-X-C motif) ligand 12
842674,YDA,Protein kinase superfamily protein
498140,Cdk8,cyclin-dependent kinase 8
948910,deoB,phosphopentomutase
261734,NPHP4,nephrocystin 4
853593,EFM3,protein-lysine N-methyltransferase
8616283,abcF4,hypothetical protein
948056,dppF,dipeptide ABC transporter ATP binding subunit DppF
218973,Wdhd1,WD repeat and HMG-box DNA binding protein 1
406902,MIR10A,microRNA 10a
28146,Serp1,stress-associated endoplasmic reticulum protein 1
850777,GAA1,GPI-anchor transamidase subunit GAA1
98878,Ehd4,EH-domain containing 4
735308,Mir216b,microRNA 216b
22933,SIRT2,sirtuin 2
8626381,psmD1,26S proteasome non-ATPase regulatory subunit 1
156826,Eya2,EYA transcriptional coactivator and phosphatase 2
494490,slc6a9,solute carrier family 6 member 9
5871,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2
831676,AT5G01200,Duplicated homeodomain-like superfamily protein
844332,Hsp70-15,Heat shock protein 70 (Hsp 70) family protein
566046,wtip,WT1 interacting protein
9875,URB1,URB1 ribosome biogenesis homolog
814174,PF3D7_1336900,tryptophan--tRNA ligase
171133,Gcsh,glycine cleavage system protein H
14103,Fasl,"Fas ligand (TNF superfamily, member 6)"
6043,SNORA63,"small nucleolar RNA, H/ACA box 63"
4170,MCL1,"MCL1 apoptosis regulator, BCL2 family member"
14465,Gata6,GATA binding protein 6
170791,Rbm39,RNA binding motif protein 39
944808,bcr,multidrug efflux pump Bcr
81778,S100a10,S100 calcium binding protein A10
854901,FPR3,peptidylprolyl isomerase FPR3
31703,spidey,spidey
852260,HAP3,Hap3p
